index,name,name2,pos,sum,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
8480434,Sean Durzi,"Durzi, Sean",D,411,1254:03,,,,,,,,,,,,,,,64,,,,19:35,,,,24.0,3.0,55.0,119.0,74.0,2.0,15.0,158:22,1015:36,55,0.0,2.5,0.0,0.0,0.0,1.0,80:05,121.0,-9.0,27.0,1429.0,15:52,01:15,02:28
8480845,Rasmus Kupari,"Kupari, Rasmus",C,171,672:42,,,,,,,,,,,,,,,57,,,,11:48,,,,8.0,5.0,18.0,51.0,68.0,1.0,3.0,30:04,610:07,18,42.57,9.8,1.0,0.0,1.0,1.0,32:31,17.0,-5.0,13.0,986.0,10:42,00:34,00:31
8481481,Blake Lizotte,"Lizotte, Blake",C,231,851:28,,,,,,,,,,,,,,,70,,,,12:09,,,,14.0,10.0,28.0,91.0,74.0,0.0,0.0,09:11,766:16,28,51.56,11.0,2.0,0.0,1.0,3.0,76:01,12.0,15.0,24.0,1252.0,10:56,01:05,00:07
8481560,Arthur Kaliyev,"Kaliyev, Arthur",RW,312,1011:56,,,,,,,,,,,,,,,80,,,,12:38,,,,13.0,14.0,37.0,194.0,31.0,6.0,9.0,154:44,857:01,37,0.0,7.2,2.0,0.0,0.0,0.0,00:11,12.0,-3.0,27.0,1355.0,10:42,00:00,01:56
8481600,Tobias Bjornfot,"Bjornfot, Tobias",D,186,1173:24,,,,,,,,,,,,,,,70,,,,16:45,,,,8.0,0.0,6.0,53.0,61.0,0.0,0.0,05:39,1092:41,6,0.0,0.0,0.0,0.0,0.0,0.0,75:04,58.0,-12.0,8.0,1476.0,15:36,01:04,00:04
8481606,Jordan Spence,"Spence, Jordan",D,115,473:51,,,,,,,,,,,,,,,24,,,,19:44,,,,6.0,2.0,2.0,41.0,32.0,0.0,2.0,40:37,419:22,2,0.0,4.9,1.0,0.0,0.0,0.0,13:52,29.0,0.0,8.0,547.0,17:28,00:34,01:41
8482124,Quinton Byfield,"Byfield, Quinton",C,102,486:16,,,,,,,,,,,,,,,40,,,,12:09,,,,5.0,5.0,20.0,39.0,20.0,0.0,1.0,22:24,461:14,20,45.42,12.8,1.0,0.0,0.0,0.0,02:38,11.0,-7.0,10.0,682.0,11:31,00:03,00:33
8478099,Kevin Labanc,"Labanc, Kevin",RW,90,279:07,,,,,,,,,,,,,,,21,,,,13:17,,,,3.0,3.0,6.0,36.0,28.0,2.0,4.0,39:39,239:28,6,0.0,8.3,1.0,0.0,0.0,0.0,00:00,9.0,-4.0,6.0,369.0,11:24,00:00,01:53
8478906,Markus Nutivaara,"Nutivaara, Markus",D,2,07:01,,,,,,,,,,,,,,,1,,,,07:01,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,00:00,07:01,0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,1.0,12.0,07:01,00:00,00:00
8471709,Marc-Edouard Vlasic,"Vlasic, Marc-Edouard",D,239,1141:09,,,,,,,,,,,,,,,75,,,,15:12,,,,11.0,3.0,18.0,63.0,54.0,0.0,0.0,02:42,1075:59,18,0.0,4.8,0.0,0.0,0.0,0.0,62:28,90.0,-22.0,14.0,1598.0,14:20,00:49,00:02
