index,name,name2,pos,team,sum,w,gaa,sp,wins,goalAgainstAverage,savePercentage,timeOnIce,ot,shutouts,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8480382,Alexandar Georgiev,"Georgiev, Alexandar",G,COL,0.5116604276059984,0.2900230549599606,-0.08292220098523527,0.3045595736312731,15,2.9208,0.898,1746:06,2,2,0,10,747,81,14,652,15,715,102,33,28,832,85,52:54,79.41176470588235,93.33333333333333,91.18881118881119
8480925,Pavel Francouz,"Francouz, Pavel",G,COL,0.888600891058128,0.2900230549599606,0.225682180848797,0.3728956552493704,15,2.5497,0.916,1200:09,1,2,0,5,557,63,11,483,13,522,73,21,18,608,51,57:09,86.3013698630137,84.61538461538461,92.52873563218391
8469608,Mike Smith,"Smith, Mike",G,EDM,0.754462162536139,0.3763109060224282,0.009052050243123475,0.3690992062705872,16,2.8102,0.915,1579:58,2,2,0,9,800,138,18,644,21,697,156,28,27,874,74,56:25,88.46153846153845,85.71428571428571,92.39598278335724
8475717,Calvin Pickard,"Pickard, Calvin",G,EDM,-1.9291248268180075,-0.9180068599145861,-1.2283592140226813,0.2172412471192599,1,4.2982,0.875,125:38,0,0,0,1,63,12,0,51,0,56,16,3,1,72,9,41:52,75.0,,91.07142857142857
8475789,Jack Campbell,"Campbell, Jack",G,EDM,2.18643754942153,1.6706286719594425,0.15050612017028317,0.365302757291804,31,2.6401,0.914,2795:24,6,5,0,9,1307,145,38,1124,39,1228,163,49,47,1430,123,57:02,88.95705521472392,97.43589743589743,91.53094462540716
8479973,Stuart Skinner,"Skinner, Stuart",G,EDM,0.04606834495215267,-0.486567604602248,0.1711296412413799,0.36150630831302083,6,2.6153,0.913,734:09,0,1,0,6,335,46,6,283,7,308,52,13,12,367,32,56:28,88.46153846153845,85.71428571428571,91.88311688311688
8477484,Spencer Martin,"Martin, Spencer",G,VAN,0.6519082628836854,-0.7454311577896509,0.8953645001453381,0.5019749205279982,3,1.7444,0.95,378:21,3,0,0,0,207,38,3,166,3,175,40,6,6,218,11,63:03,95.0,100.0,94.85714285714286
8477967,Thatcher Demko,"Demko, Thatcher",G,VAN,2.293205316910296,1.8432043740843778,0.08090173655533137,0.3690992062705872,33,2.7238,0.915,3700:39,7,1,0,22,1799,232,57,1510,63,1628,276,64,61,1967,168,57:49,84.05797101449275,90.47619047619048,92.75184275184274
8480420,Collin Delia,"Delia, Collin",G,VAN,-1.4630445008853759,-0.9180068599145861,-0.8533936635808461,0.3083560226100563,1,3.8473,0.899,343:06,1,0,0,4,196,22,4,170,5,187,26,8,6,218,22,42:53,84.61538461538461,80.0,90.9090909090909
8476434,John Gibson,"Gibson, John",G,ANA,0.5698534766094998,0.5488866081473635,-0.3063713990418359,0.3273382675039722,18,3.1895,0.904,3235:35,11,1,0,26,1617,227,44,1346,46,1489,254,56,56,1789,172,57:46,89.37007874015748,95.65217391304348,90.39623908663532
8476932,Anthony Stolarz,"Stolarz, Anthony",G,ANA,0.5346573088110645,0.03115950177255772,0.12680570281035328,0.3766921042281536,12,2.6686,0.917,1506:25,3,3,0,8,742,121,23,598,25,652,132,28,23,809,67,53:48,91.66666666666666,92.0,91.71779141104295
8480042,Olle Eriksson Ek,"Eriksson, Olle",G,ANA,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8480843,Lukas Dostal,"Dostal, Lukas",G,ANA,-0.7101012373343052,-0.9180068599145861,-0.1308219918600409,0.33872761444032173,1,2.9784,0.907,201:27,0,0,0,2,98,10,3,85,3,92,13,4,3,108,10,50:21,76.92307692307693,100.0,92.3913043478261
8471418,Anton Khudobin,"Khudobin, Anton",G,DAL,-1.1879377935837911,-0.7454311577896509,-0.6749336788285328,0.23242704303439263,3,3.6327,0.879,462:28,1,0,0,4,203,37,4,162,4,181,46,9,7,231,28,51:23,80.43478260869566,100.0,89.50276243093923
8475809,Scott Wedgewood,"Wedgewood, Scott",G,DAL,0.20385366641773417,0.11744735283502535,-0.26371064779396247,0.3501169613766713,13,3.1382,0.91,2103:08,6,1,0,15,1108,144,25,939,26,1028,164,37,32,1218,110,56:50,87.8048780487805,96.15384615384616,91.34241245136187
8479979,Jake Oettinger,"Oettinger, Jake",G,DAL,2.1948682084396234,1.584340820896975,0.24522463025084457,0.365302757291804,30,2.5262,0.914,2707:36,1,1,0,15,1217,128,44,1045,47,1136,148,48,46,1331,114,56:24,86.48648648648648,93.61702127659575,91.98943661971832
8482642,Adam Scheel,"Scheel, Adam",G,DAL,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8471734,Jonathan Quick,"Quick, Jonathan",G,LAK,1.5215307122755883,0.9803258634597015,0.19108788743921545,0.3501169613766713,23,2.5913,0.91,2685:52,9,2,0,13,1168,158,36,974,41,1055,188,46,46,1284,116,58:23,84.04255319148936,87.8048780487805,92.32227488151659
8477361,Cal Petersen,"Petersen, Cal",G,LAK,0.9534980880812906,0.7214623102722987,-0.061134448885931635,0.29317022669492354,20,2.8946,0.895,2176:30,2,3,0,14,897,117,34,746,38,824,140,37,35,1002,105,58:49,83.57142857142857,89.47368421052632,90.53398058252428
8477831,Pheonix Copley,"Copley, Pheonix",G,LAK,-1.012680610425802,-1.0042947109770537,-0.2370164935043576,0.22863059405560945,0,3.1061,0.878,96:35,0,0,0,1,36,2,1,33,2,35,4,2,1,41,5,48:17,50.0,50.0,94.28571428571428
8473503,James Reimer,"Reimer, James",G,SJS,0.9267891896511469,0.6351744592098311,-0.06229867991413858,0.3539134103554545,19,2.896,0.911,2672:41,10,1,0,17,1321,173,29,1119,33,1231,186,48,46,1450,129,55:40,93.01075268817203,87.87878787878788,90.90170593013809
8477180,Aaron Dell,"Dell, Aaron",G,SJS,-1.6400006466363548,-0.9180068599145861,-1.0075711154591258,0.2855773287373572,1,4.0327,0.893,565:23,1,0,0,8,316,32,12,272,13,297,44,12,9,354,38,47:06,72.72727272727273,92.3076923076923,91.58249158249158
8478039,Kaapo Kahkonen,"Kahkonen, Kaapo",G,SJS,0.5240941910648864,0.20373520389749297,-0.03735087216684428,0.35770985933423766,14,2.866,0.912,1946:57,4,0,0,14,963,152,29,782,31,849,176,36,33,1056,93,54:04,86.36363636363636,93.54838709677419,92.10836277974087
8480193,Daniil Tarasov,"Tarasov, Daniil",G,CBJ,-0.20324823220775062,-1.0042947109770537,0.3484253949654859,0.4526210838038172,0,2.4021,0.937,174:51,0,0,0,2,104,6,6,92,6,99,6,4,3,111,7,43:42,100.0,100.0,92.92929292929293
8476914,Joonas Korpisalo,"Korpisalo, Joonas",G,CBJ,-1.2782341901575869,-0.4002797535397804,-1.1027885816946328,0.22483414507682628,7,4.1472,0.877,1128:29,0,0,0,11,556,77,20,459,22,519,93,22,17,634,78,51:17,82.79569892473118,90.9090909090909,88.4393063583815
8478007,Elvis Merzlikins,"Merzlikins, Elvis",G,CBJ,1.3351309780580196,1.325477267709572,-0.32907390409187415,0.33872761444032173,27,3.2168,0.907,3320:07,7,2,0,23,1742,204,36,1502,40,1642,238,59,56,1920,178,56:16,85.71428571428571,90.0,91.47381242387333
8482982,Jet Greaves,"Greaves, Jet",G,CBJ,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8470594,Marc-Andre Fleury,"Fleury, Marc-Andre",G,MIN,1.685171434826079,1.4117651187720397,-0.06911774736506572,0.3425240634191049,28,2.9042,0.908,3284:52,5,4,0,23,1573,204,46,1323,50,1443,239,56,56,1732,159,58:39,85.35564853556485,92.0,91.68399168399168
8479406,Filip Gustavsson,"Gustavsson, Filip",G,MIN,-0.8981502176620334,-0.5728554556647156,-0.6070756417558919,0.281780879758574,5,3.5511,0.892,1047:33,1,0,0,12,512,69,15,428,16,476,82,18,16,574,62,58:11,84.14634146341463,93.75,89.91596638655463
8476945,Connor Hellebuyck,"Hellebuyck, Connor",G,WPG,1.7271607437317402,1.4980529698345073,-0.12100918747943838,0.3501169613766713,29,2.9666,0.91,3903:30,10,4,0,27,1962,271,67,1624,72,1768,315,66,66,2155,193,59:08,86.03174603174604,93.05555555555556,91.8552036199095
